"Year","Geography","Type of materials diverted","Sources of materials prepared for recycling","GeoCode","Value"
"2024","Nova Scotia","Construction, renovation and demolition","All sources of diverted materials",12,38.1041570270298
"2024","Nova Scotia","Construction, renovation and demolition","Residential sources of diverted materials",12,4.34811118530361
"2024","Nova Scotia","Construction, renovation and demolition","Non-residential sources of diverted materials",12,33.7569693997519
"2024","Nova Scotia","All organic materials","All sources of diverted materials",12,156.828464797201
"2024","Nova Scotia","All organic materials","Residential sources of diverted materials",12,113.798972818764
"2024","Nova Scotia","All organic materials","Non-residential sources of diverted materials",12,43.0294919784368
"2024","Nova Scotia","Food waste and source separated organics","All sources of diverted materials",12,116.628754609709
"2024","Nova Scotia","Food waste and source separated organics","Residential sources of diverted materials",12,91.7813494845161
"2024","Nova Scotia","Food waste and source separated organics","Non-residential sources of diverted materials",12,24.8464815671671
"2024","Nova Scotia","Leaf and yard waste","All sources of diverted materials",12,15.8168547492586
"2024","Nova Scotia","Leaf and yard waste","Residential sources of diverted materials",12,12.7820430765934
"2024","Nova Scotia","Leaf and yard waste","Non-residential sources of diverted materials",12,3.03573523069094
"2024","Nova Scotia","Other organic materials","All sources of diverted materials",12,24.3828554382329
"2024","Nova Scotia","Other organic materials","Residential sources of diverted materials",12,9.23558025765422
"2024","Nova Scotia","Other organic materials","Non-residential sources of diverted materials",12,15.1472751805787
"2024","Nova Scotia","Other materials","All sources of diverted materials",12,0
"2024","Nova Scotia","Other materials","Residential sources of diverted materials",12,0
"2024","Nova Scotia","Other materials","Non-residential sources of diverted materials",12,0
"2024","New Brunswick","All materials diverted","All sources of diverted materials",13,218.327540828132
"2024","New Brunswick","All materials diverted","Residential sources of diverted materials",13,
"2024","New Brunswick","All materials diverted","Non-residential sources of diverted materials",13,
"2024","New Brunswick","All paper fibres","All sources of diverted materials",13,35.6836185312009
"2024","New Brunswick","All paper fibres","Residential sources of diverted materials",13,19.3535307872719
"2024","New Brunswick","All paper fibres","Non-residential sources of diverted materials",13,16.3335830538056
"2024","New Brunswick","Glass","All sources of diverted materials",13,2.97683891165371
"2024","New Brunswick","Glass","Residential sources of diverted materials",13,1.85251423464947
"2024","New Brunswick","Glass","Non-residential sources of diverted materials",13,1.12432467700424
"2024","New Brunswick","Ferrous metals","All sources of diverted materials",13,2.09136040955711
"2024","New Brunswick","Ferrous metals","Residential sources of diverted materials",13,1.05208827288583
"2024","New Brunswick","Ferrous metals","Non-residential sources of diverted materials",13,1.03927213667128
"2024","New Brunswick","Copper and aluminum","All sources of diverted materials",13,5.68570406609398
"2024","New Brunswick","Copper and aluminum","Residential sources of diverted materials",13,5.01460456976813
"2024","New Brunswick","Copper and aluminum","Non-residential sources of diverted materials",13,0.671099496325847
"2024","New Brunswick","Mixed metals","All sources of diverted materials",13,1.94805270461253
"2024","New Brunswick","Mixed metals","Residential sources of diverted materials",13,1.47968118113511
"2024","New Brunswick","Mixed metals","Non-residential sources of diverted materials",13,0.468371523477414
"2024","New Brunswick","White goods","All sources of diverted materials",13,0.215544109062989
"2024","New Brunswick","White goods","Residential sources of diverted materials",13,0.212048799186292
"2024","New Brunswick","White goods","Non-residential sources of diverted materials",13,0.00349530987669712
"2024","New Brunswick","Electronics","All sources of diverted materials",13,1.11616895395861
"2024","New Brunswick","Electronics","Residential sources of diverted materials",13,
"2024","New Brunswick","Electronics","Non-residential sources of diverted materials",13,
"2024","New Brunswick","Plastics","All sources of diverted materials",13,6.03057464059476
"2024","New Brunswick","Plastics","Residential sources of diverted materials",13,4.29573583846076
"2024","New Brunswick","Plastics","Non-residential sources of diverted materials",13,1.73367369884177
"2024","New Brunswick","Gable top and aseptic containers","All sources of diverted materials",13,0.603523505376369
"2024","New Brunswick","Gable top and aseptic containers","Residential sources of diverted materials",13,0.541773030888053
"2024","New Brunswick","Gable top and aseptic containers","Non-residential sources of diverted materials",13,0.0617504744883158
"2024","New Brunswick","Textiles","All sources of diverted materials",13,0
"2024","New Brunswick","Textiles","Residential sources of diverted materials",13,0
"2024","New Brunswick","Textiles","Non-residential sources of diverted materials",13,0
"2024","New Brunswick","Tires","All sources of diverted materials",13,17.4765493834856
"2024","New Brunswick","Tires","Residential sources of diverted materials",13,
"2024","New Brunswick","Tires","Non-residential sources of diverted materials",13,
"2024","New Brunswick","Construction, renovation and demolition","All sources of diverted materials",13,34.7620218270451
"2024","New Brunswick","Construction, renovation and demolition","Residential sources of diverted materials",13,11.4156820572928
"2024","New Brunswick","Construction, renovation and demolition","Non-residential sources of diverted materials",13,23.3463397697523
"2024","New Brunswick","All organic materials","All sources of diverted materials",13,109.73758378549
"2024","New Brunswick","All organic materials","Residential sources of diverted materials",13,47.5513606658798
"2024","New Brunswick","All organic materials","Non-residential sources of diverted materials",13,62.1873882229029
"2024","New Brunswick","Food waste and source separated organics","All sources of diverted materials",13,
"2024","New Brunswick","Food waste and source separated organics","Residential sources of diverted materials",13,
"2024","New Brunswick","Food waste and source separated organics","Non-residential sources of diverted materials",13,
"2024","New Brunswick","Leaf and yard waste","All sources of diverted materials",13,11.2572280095492
"2024","New Brunswick","Leaf and yard waste","Residential sources of diverted materials",13,10.4032072963429
"2024","New Brunswick","Leaf and yard waste","Non-residential sources of diverted materials",13,0.854020713206329
"2024","New Brunswick","Other organic materials","All sources of diverted materials",13,
"2024","New Brunswick","Other organic materials","Residential sources of diverted materials",13,
"2024","New Brunswick","Other organic materials","Non-residential sources of diverted materials",13,
